Startnumber;Last_name;First_name;Country;PPP_chapter;Gender;QTTR
1345;Berzosa;Daniel;ESP;1. FSV Mainz 05 e. V.;M;2410
1346;Kurashima;Anna;JPN;Japan;F;2410
1347;Nuytinck;Cedric;BEL;BV Borussia 09 Dortmund;M;2409
1348;Bouloussa;Mehdi;FRA;France;M;2409
1349;Abbasi;Amirreza;IRI;Iran;M;2409
1350;Idesawa;Kyoka;JPN;Japan;F;2409
1351;Levenko;Andreas;AUT;TTF Liebherr Ochsenhausen;M;2408
1352;Chen;Kai-Cheng;TPE;Taiwan;M;2408
1353;Fan;Shuhan;CHN;China;F;2408
1354;Vlasov;Grigory;RUS;Sportverein Union Velbert 2011 e.V.;M;2407
1355;Lin;Yen-Chun;TPE;Taiwan;M;2407
1356;Zhang;Xiangjing;USA;USA;M;2407
1357;Yang;Haeun;KOR;South Korea (Republic);F;2406
1358;Teodoro;Guilherme;BRA;Brazil;M;2406
1359;Wu;Ying-Syuan;TPE;Taiwan;F;2406
1360;Brard;Romain;FRA;France;M;2406
1361;Hung;Jing-Kai;TPE;ASC Gr�nwettersbach;M;2405
1362;Peng;Yu-Han;TPE;Taiwan;F;2405
1363;Takahashi;Bruna;BRA;TTC 1946 Weinheim e.V.;F;2404
1364;Oyebode;John;ITA;1. FC K�ln 01/07 e.V.;M;2404
1365;Abraamian;Elizabet;ARM;Armenia;F;2403
1366;Zhou;Guanhong;CHN;China;M;2403
1367;Igarashi;Fumiya;JPN;Japan;M;2403
1368;Kubik;Maciej;POL;TTC Zugbr�cke Grenzau;M;2402
1369;Haug;Borgar;NOR;Borussia D�sseldorf;M;2402
1370;Wu;Jiaji;DOM;TTC Zugbr�cke Grenzau;M;2402
1371;Artemenko;Nikita;RUS;Russia;M;2402
1372;Sugiura;Ryoga;JPN;Japan;M;2402
1373;Stoyanov;Niagol;ITA;Italy;M;2401
1374;Okamoto;Tomoki;JPN;Japan;M;2401
1375;Szocs;Bernadette;ROU;Romania;F;2400
1376;Szocs;Hunor Janos;ROU;Romania;M;2400
1377;Lebesson;Emmanuel;FRA;SV Motor 1951 Falkensee;M;2400
1378;Zhmudenko;Yaroslav;UKR;Oldenburger TB;M;2400
1379;Kim;Woojin;KOR;South Korea (Republic);M;2400
1380;Wang;Xiaonan;CHN;China;F;2400
1381;Pak;Su Gyong;PRK;North Korea (DPR);F;2400
1382;Paranang;Orawan;THA;TSV 1909 Langstadt;F;2399
1383;Fedotov;Petr;RUS;TV 1879 Hilpoltstein;M;2399
1384;Pradhivadhi Bhayankaram;Abhinandh;IND;India;M;2398
1385;Chen;Min-Hsin;TPE;Taiwan;F;2398
1386;Hsiao;Tzu-Jui;TPE;Taiwan;M;2398
1387;Pang;Yew En Koen;SGP;TTC GW Bad Hamm;M;2396
1388;Choi;Inhyeok;KOR;South Korea (Republic);M;2396
1389;Iwaki;Nika;JPN;Japan;F;2396
1390;Jouti;Eric;BRA;Brazil;M;2395
1391;Asazu;Aoto;JPN;Japan;M;2395
1392;Zalewski;Mateusz;POL;Poland;M;2395
1393;Kouraichi;Alexis;FRA;France;M;2395
1394;Xu;Kaden;USA;USA;M;2395
1395;Ghosh;Soumyajit;IND;India;M;2394
1396;Byun;Seoyoung;KOR;TSV Dachau 65;F;2394
1397;Diaw;Ibrahima;FRA;France;M;2394
1398;Mori;Hayato;JPN;Japan;M;2394
1399;Uriu;Hisa;JPN;Japan;F;2393
1400;Polansky;Tomas;CZE;Czech Republic;M;2392
1401;Alto;Gaston;ARG;TSV Windsbach;M;2392
1402;Faso;Danilo Dmitri;ITA;Italy;M;2392
1403;Suh;Hyowon;KOR;South Korea (Republic);F;2392
1404;Lu;Yu-En;TPE;Taiwan;F;2392
1405;Soderlund;Hampus;SWE;TSV Windsbach;M;2391
1406;Yeh;Yi-Tian;TPE;Taiwan;F;2391
1407;Kiho;Keisuke;JPN;TTC Fortuna Passau;M;2391
1408;Devos;Laurens;BEL;TTC indeland J�lich e.V.;M;2390
1409;Yiu;Kwan To;HKG;Hongkong;M;2390
1410;Kim;Nayeong;KOR;South Korea (Republic);F;2390
1411;Sasao;Asuka;JPN;Japan;F;2390
1412;Chen;Yizhou;CHN;China;M;2390
1413;Takahashi;Aoba;JPN;Japan;F;2390
1414;Liu;Ziling;CHN;China;F;2390
1415;Hippler;Tobias;GER;ASC Gr�nwettersbach;M;2389
1416;Mino;Alberto;GER;BV Borussia 09 Dortmund;M;2389
1417;Jean;Lauric;BEL;Belgium;M;2389
1418;Baggaley;Andrew;GBR;TTC SR Hohenstein-Ernstthal;M;2389
1419;Suravajjula;Snehit;IND;TTC indeland J�lich e.V.;M;2388
1420;Yefimov;Viktor;UKR;TTC Fortuna Passau;M;2388
1421;Kinz-Presslmayer;Bernhard;AUT;Austria;M;2388
1422;Li;Jonathan;USA;USA;M;2388
1423;Klein;Dennis;GER;1. FC Saarbr�cken-TT;M;2387
1424;Salifou;Abdel-Kader;FRA;MTV Jever;M;2387
1425;Sirucek;Pavel;CZE;Czech Republic;M;2387
1426;Abiodun;Tiago;POR;TTF Liebherr Ochsenhausen;M;2387
1427;Choi;Jiwook;KOR;South Korea (Republic);M;2387
1428;Yan;Yutong;CHN;China;F;2387
1429;Kimura;Kasumi;JPN;Japan;F;2387
1430;Sie;Jhih Chen;TPE;Taiwan;F;2387
1431;Cheaib;Dauud;GER;DJK Sportbund Stuttgart;M;2384
1432;Chen;Weixing;AUT;TSV Windsbach;M;2384
1433;Yuan;Jia Nan;FRA;France;F;2384
1434;Lee;Haelin;KOR;South Korea (Republic);F;2384
1435;Turrini;Rafael;ITA;TSG Kaiserslautern;M;2384
1436;Sgouropoulos;Ioannis;GRE;Sportverein Union Velbert 2011 e.V.;M;2383
1437;Iizuka Kenzo;Leonardo;BRA;TTF Liebherr Ochsenhausen;M;2383
1438;Omoda;Tomoki;JPN;1. FC K�ln 01/07 e.V.;M;2383
1439;Lorenzo;Santiago;ITA;Italy;M;2382
1440;Kotowski;Tomasz;POL;TSV Sch�ppenstedt;M;2382
1441;Gil;Minseok;KOR;South Korea (Republic);M;2382
1442;Kim;Daewoo;KOR;South Korea (Republic);M;2382
1443;Yoon;Seonah;KOR;South Korea (Republic);F;2382
1444;Gomez;Gustavo;CHI;Chile;M;2380
1445;Kim;Byunghyeon;KOR;TTC SR Hohenstein-Ernstthal;M;2380
1446;Wang;Lichen;CHN;1. FC Saarbr�cken-TT;M;2380
1447;Yeom;Chaewon;KOR;South Korea (Republic);M;2380
1448;Pang;Xiang Jun;MAS;Malaysia;M;2380
1449;Laffineur;Louis;BEL;1. FC K�ln 01/07 e.V.;M;2378
1450;Pal;Akash;IND;SC Arminia Ochtrup;M;2378
1451;Sanguansin;Phakpoom;THA;Thailand;M;2378
1452;Jeong;Yeonghun;KOR;South Korea (Republic);M;2378
